kind,path,url,status,title,title_len,title_is_auto,description,desc_len,canonical,noindex,flags
page,/what-we-treat/skin-facial-health,https://wheat-loris-762449.hostingersite.com/what-we-treat/skin-facial-health,200,Skin & Facial Health – Wellspring Health,40,yes,"From cosmetic acupuncture that brightens the complexion and softens fine lines, to relief from conditions like shingles, acupuncture and TCM support the skin…",158,https://wheat-loris-762449.hostingersite.com/what-we-treat/skin-facial-health,no,auto-title duplicate-title
page,/what-we-treat/allergies-immune-support,https://wheat-loris-762449.hostingersite.com/what-we-treat/allergies-immune-support,200,Allergies & Immune Support – Wellspring Health,46,yes,"Acupuncture and TCM can calm seasonal allergies, ease sinus congestion, and strengthen the body’s defences so colds and flus are shorter and less frequent.",155,https://wheat-loris-762449.hostingersite.com/what-we-treat/allergies-immune-support,no,auto-title duplicate-title
page,/acupuncture,https://wheat-loris-762449.hostingersite.com/acupuncture,200,Acupuncture – Wellspring Health,31,yes,,,https://wheat-loris-762449.hostingersite.com/acupuncture,no,auto-title no-description duplicate-title
page,/services,https://wheat-loris-762449.hostingersite.com/services,200,Services – Wellspring Health,28,yes,,,https://wheat-loris-762449.hostingersite.com/services,no,auto-title no-description
page,/no-needle-acupuncture,https://wheat-loris-762449.hostingersite.com/no-needle-acupuncture,200,No Needle Acupuncture – Wellspring Health,41,yes,,,https://wheat-loris-762449.hostingersite.com/no-needle-acupuncture,no,auto-title no-description
page,/traditional-chinese-medicine,https://wheat-loris-762449.hostingersite.com/traditional-chinese-medicine,200,Traditional Chinese Medicine – Wellspring Health,48,yes,,,https://wheat-loris-762449.hostingersite.com/traditional-chinese-medicine,no,auto-title no-description
page,/privacy-policy,https://wheat-loris-762449.hostingersite.com/privacy-policy,200,Wellspring Health Privacy Policy: Your Data Security Explained,62,no,Wellspring Health's privacy policy outlines our commitment to data security and transparency in personal information collection.,128,https://wheat-loris-762449.hostingersite.com/privacy-policy,no,title-over-60
page,/terms-of-service,https://wheat-loris-762449.hostingersite.com/terms-of-service,200,Terms of Service,16,no,"Read the Terms of Service for Wellspring Health, Calgary's leading TCM clinic, to understand your rights and responsibilities.",126,https://wheat-loris-762449.hostingersite.com/terms-of-service,no,
page,/cookie-policy,https://wheat-loris-762449.hostingersite.com/cookie-policy,200,Wellspring Health TCM Alberta Cookie Policy,43,no,Wellspring Health's Cookie Policy outlines how we use cookies to enhance your experience on our website.,104,https://wheat-loris-762449.hostingersite.com/cookie-policy,no,
page,/book-appointments,https://wheat-loris-762449.hostingersite.com/book-appointments,200,Book Appointment: Doctor of Traditional Chinese Medicine & Registered Acupuncturist,83,no,Book an appointment at our Acupuncture & Traditional Chinese Medicine Clinic in SE Calgary. Online scheduling & appointment booking options.,140,https://wheat-loris-762449.hostingersite.com/book-appointments,no,title-over-60
page,/events,https://wheat-loris-762449.hostingersite.com/events,200,"Wellspring Health in the Calgary Community: Charity Events, Workshops & Webinars",80,no,"Find AcupuTraditional Chinese Medicine Workshops & Webinars in Calgary by Wellspring Health Acupuncture & TCM Clinic on stress relief, sleep & wellness topics.",159,https://wheat-loris-762449.hostingersite.com/events,no,title-over-60
clinic_case,/clinic-case/stress-driven-neck-and-shoulder-pain-resolved-in-one-treatment-course,https://wheat-loris-762449.hostingersite.com/clinic-case/stress-driven-neck-and-shoulder-pain-resolved-in-one-treatment-course,200,"Stress-driven neck and shoulder pain, resolved in one treatment course – Wellspring Health",90,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-case/stress-driven-neck-and-shoulder-pain-resolved-in-one-treatment-course,no,auto-title title-over-60 no-description
clinic_case,/clinic-case/heart-palpitations-and-severe-sweating-returned-to-a-normal-rhythm,https://wheat-loris-762449.hostingersite.com/clinic-case/heart-palpitations-and-severe-sweating-returned-to-a-normal-rhythm,200,"Heart palpitations and severe sweating, returned to a normal rhythm – Wellspring Health",87,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-case/heart-palpitations-and-severe-sweating-returned-to-a-normal-rhythm,no,auto-title title-over-60 no-description
clinic_case,/clinic-case/tmj-jaw-pain-and-night-time-teeth-grinding-eased,https://wheat-loris-762449.hostingersite.com/clinic-case/tmj-jaw-pain-and-night-time-teeth-grinding-eased,200,"TMJ jaw pain and night-time teeth grinding, eased – Wellspring Health",69,yes,"Aching, tight jaw and night-time grinding, released by clearing the Qi blockage around the joint — settled within a single treatment course.",140,https://wheat-loris-762449.hostingersite.com/clinic-case/tmj-jaw-pain-and-night-time-teeth-grinding-eased,no,auto-title title-over-60
clinic_case,/clinic-case/extremely-heavy-periods-brought-back-to-normal,https://wheat-loris-762449.hostingersite.com/clinic-case/extremely-heavy-periods-brought-back-to-normal,200,"Extremely heavy periods that led to hospital visits, brought back to normal – Wellspring Health",95,yes,"Months of dangerous, hospitalising menstrual flow brought back to a normal level by strengthening the Spleen’s hold on the blood.",129,https://wheat-loris-762449.hostingersite.com/clinic-case/extremely-heavy-periods-brought-back-to-normal,no,auto-title title-over-60
clinic_case,/clinic-case/frequent-and-urgent-urination-resolved,https://wheat-loris-762449.hostingersite.com/clinic-case/frequent-and-urgent-urination-resolved,200,"Frequent, urgent urination resolved as inflammation cleared – Wellspring Health",79,yes,"Urgent, constant urination resolved once the underlying bladder and lung inflammation cleared — back to a normal, comfortable rhythm.",133,https://wheat-loris-762449.hostingersite.com/clinic-case/frequent-and-urgent-urination-resolved,no,auto-title title-over-60
clinic_case,/clinic-case/swelling-and-pain-after-knee-surgery-fully-recovered,https://wheat-loris-762449.hostingersite.com/clinic-case/swelling-and-pain-after-knee-surgery-fully-recovered,200,"Swelling and pain after knee surgery, fully recovered – Wellspring Health",73,yes,"Post-surgical swelling and pain at the knee fully resolved, with a faster, fuller recovery than her doctors expected.",117,https://wheat-loris-762449.hostingersite.com/clinic-case/swelling-and-pain-after-knee-surgery-fully-recovered,no,auto-title title-over-60
clinic_case,/clinic-case/waking-through-the-night-to-urinate-restored-deep-sleep,https://wheat-loris-762449.hostingersite.com/clinic-case/waking-through-the-night-to-urinate-restored-deep-sleep,200,"Waking too many times a night, restored to deep, unbroken sleep – Wellspring Health",83,yes,"Hours to fall asleep and constant night-time waking, resolved by warming the Kidneys and unwinding stress — deep sleep within a month.",134,https://wheat-loris-762449.hostingersite.com/clinic-case/waking-through-the-night-to-urinate-restored-deep-sleep,no,auto-title title-over-60
clinic_case,/clinic-case/severe-insomnia-from-barely-sleeping-to-full-nights,https://wheat-loris-762449.hostingersite.com/clinic-case/severe-insomnia-from-barely-sleeping-to-full-nights,200,"Severe insomnia: from barely sleeping to full, restful nights – Wellspring Health",81,yes,"From barely sleeping at all to a full seven–eight hours, rebuilt in stages by stopping blood loss and settling digestion.",121,https://wheat-loris-762449.hostingersite.com/clinic-case/severe-insomnia-from-barely-sleeping-to-full-nights,no,auto-title title-over-60
clinic_case,/clinic-case/twenty-years-of-asthma-off-the-inhaler,https://wheat-loris-762449.hostingersite.com/clinic-case/twenty-years-of-asthma-off-the-inhaler,200,"Twenty years of asthma, off the inhaler – Wellspring Health",59,yes,"Twenty years of asthma and a decade on inhalers — wheezing and phlegm cleared, and off the inhaler with her doctor’s sign-off.",126,https://wheat-loris-762449.hostingersite.com/clinic-case/twenty-years-of-asthma-off-the-inhaler,no,auto-title
clinic_case,/clinic-case/heel-pain-from-a-bone-spur-back-on-his-feet,https://wheat-loris-762449.hostingersite.com/clinic-case/heel-pain-from-a-bone-spur-back-on-his-feet,200,"Heel pain from a bone spur, back on her feet – Wellspring Health",64,yes,"Severe heel pain from a bone spur, with the foot unable to touch the floor — swelling, inflammation and pain fully resolved.",124,https://wheat-loris-762449.hostingersite.com/clinic-case/heel-pain-from-a-bone-spur-back-on-his-feet,no,auto-title title-over-60
clinic_case,/clinic-case/whole-body-tightness-and-pain-from-scoliosis-relieved,https://wheat-loris-762449.hostingersite.com/clinic-case/whole-body-tightness-and-pain-from-scoliosis-relieved,200,"Whole-body tightness and pain from scoliosis, relieved as the spine recentred – Wellspring Health",97,yes,"Whole-body tightness and pain from scoliosis eased as a gentle, strengthening plan helped the spine recentre.",109,https://wheat-loris-762449.hostingersite.com/clinic-case/whole-body-tightness-and-pain-from-scoliosis-relieved,no,auto-title title-over-60
clinic_case,/clinic-case/knee-pain-from-a-bone-spur-under-the-kneecap-resolved,https://wheat-loris-762449.hostingersite.com/clinic-case/knee-pain-from-a-bone-spur-under-the-kneecap-resolved,200,"Knee pain from a bone spur under the kneecap, resolved – Wellspring Health",74,yes,"Knee pain from a bone spur under the kneecap, cleared by strengthening the deficiency and clearing local congestion.",116,https://wheat-loris-762449.hostingersite.com/clinic-case/knee-pain-from-a-bone-spur-under-the-kneecap-resolved,no,auto-title title-over-60
clinic_case,/clinic-case/frozen-shoulder-pain-from-aging-resolved,https://wheat-loris-762449.hostingersite.com/clinic-case/frozen-shoulder-pain-from-aging-resolved,200,"Frozen shoulder (‘fifty shoulder’) pain, resolved – Wellspring Health",69,yes,"Aging-related ‘frozen shoulder’ pain warmed, cleared and resolved over a focused treatment course.",98,https://wheat-loris-762449.hostingersite.com/clinic-case/frozen-shoulder-pain-from-aging-resolved,no,auto-title title-over-60
clinic_case,/clinic-case/a-blocked-nose-and-lost-sense-of-smell-and-taste-restored,https://wheat-loris-762449.hostingersite.com/clinic-case/a-blocked-nose-and-lost-sense-of-smell-and-taste-restored,200,"A blocked nose and lost sense of smell and taste, restored – Wellspring Health",78,yes,"A blocked nose and lost sense of smell and taste, restored during treatment by opening and warming the respiratory system.",122,https://wheat-loris-762449.hostingersite.com/clinic-case/a-blocked-nose-and-lost-sense-of-smell-and-taste-restored,no,auto-title title-over-60
clinic_case,/clinic-case/migraines-and-chinook-headaches-stopped-at-the-needle,https://wheat-loris-762449.hostingersite.com/clinic-case/migraines-and-chinook-headaches-stopped-at-the-needle,200,"Migraines and Calgary Chinook headaches, stopped at the needle – Wellspring Health",82,yes,Migraines and Calgary Chinook headaches that disappeared the moment the needle reached the right point — then manageable at home.,129,https://wheat-loris-762449.hostingersite.com/clinic-case/migraines-and-chinook-headaches-stopped-at-the-needle,no,auto-title title-over-60
clinic_case,/clinic-case/neck-shoulder-and-back-pain-after-a-car-accident-resolved,https://wheat-loris-762449.hostingersite.com/clinic-case/neck-shoulder-and-back-pain-after-a-car-accident-resolved,200,"Years of neck, shoulder, and back pain after a car accident, finally resolved – Wellspring Health",97,yes,"Years of diffuse neck, shoulder and back pain after a car accident — gone after each treatment, and finally for good.",117,https://wheat-loris-762449.hostingersite.com/clinic-case/neck-shoulder-and-back-pain-after-a-car-accident-resolved,no,auto-title title-over-60
clinic_case,/clinic-case/sleep-apnea-and-severe-snoring-machine-free-nights,https://wheat-loris-762449.hostingersite.com/clinic-case/sleep-apnea-and-severe-snoring-machine-free-nights,200,"Sleep apnea and severe snoring, back to machine-free nights – Wellspring Health",79,yes,"Sleep apnea and severe snoring resolved by tonifying Yang and Lung Qi — back to quiet, machine-free nights.",107,https://wheat-loris-762449.hostingersite.com/clinic-case/sleep-apnea-and-severe-snoring-machine-free-nights,no,auto-title title-over-60
clinic_case,/clinic-case/quitting-smoking-after-decades-with-tcm-support,https://wheat-loris-762449.hostingersite.com/clinic-case/quitting-smoking-after-decades-with-tcm-support,200,"Quitting smoking after decades, with TCM support – Wellspring Health",68,yes,"Decades of heavy smoking, coughing and mucus — gradually reduced and finally quit, with the lungs cleared along the way.",120,https://wheat-loris-762449.hostingersite.com/clinic-case/quitting-smoking-after-decades-with-tcm-support,no,auto-title title-over-60
clinic_case,/clinic-case/seasonal-allergies-and-morning-sneezing-cleared,https://wheat-loris-762449.hostingersite.com/clinic-case/seasonal-allergies-and-morning-sneezing-cleared,200,"Seasonal allergies and morning sneezing, cleared in a month – Wellspring Health",79,yes,"Daily morning sneezing and runny nose from seasonal allergies, cleared in a month by strengthening Lung and Kidney Qi.",118,https://wheat-loris-762449.hostingersite.com/clinic-case/seasonal-allergies-and-morning-sneezing-cleared,no,auto-title title-over-60
clinic_case,/clinic-case/a-fast-recovery-from-the-flu-without-the-usual-long-illness,https://wheat-loris-762449.hostingersite.com/clinic-case/a-fast-recovery-from-the-flu-without-the-usual-long-illness,200,"A fast recovery from the flu, without the usual months of illness – Wellspring Health",85,yes,Early flu caught and cleared in days — heading off the months-long illness this patient usually suffered.,105,https://wheat-loris-762449.hostingersite.com/clinic-case/a-fast-recovery-from-the-flu-without-the-usual-long-illness,no,auto-title title-over-60
clinic_case,/clinic-case/high-blood-pressure-that-medication-couldnt-control-brought-down,https://wheat-loris-762449.hostingersite.com/clinic-case/high-blood-pressure-that-medication-couldnt-control-brought-down,200,"High blood pressure that medication couldn’t control, brought down safely – Wellspring Health",93,yes,"High blood pressure that medication couldn’t control, brought down safely once the underlying patterns and habits were addressed.",129,https://wheat-loris-762449.hostingersite.com/clinic-case/high-blood-pressure-that-medication-couldnt-control-brought-down,no,auto-title title-over-60
clinic_case,/clinic-case/dangerously-high-blood-pressure-without-medication-returned-to-normal,https://wheat-loris-762449.hostingersite.com/clinic-case/dangerously-high-blood-pressure-without-medication-returned-to-normal,200,"Dangerously high blood pressure in a patient who declined medication, returned to normal range – Wellspring Health",114,yes,"Dangerously high blood pressure in a patient who declined medication, returned to normal range — with medical care advised as backup.",133,https://wheat-loris-762449.hostingersite.com/clinic-case/dangerously-high-blood-pressure-without-medication-returned-to-normal,no,auto-title title-over-60
clinic_case,/clinic-case/lifelong-anxiety-and-insomnia-eased-with-herbs,https://wheat-loris-762449.hostingersite.com/clinic-case/lifelong-anxiety-and-insomnia-eased-with-herbs,200,"Lifelong anxiety and insomnia, eased with TCM – Wellspring Health",65,yes,"Lifelong anxiety and broken sleep eased with targeted herbs and acupuncture, after a lifetime of carrying it.",109,https://wheat-loris-762449.hostingersite.com/clinic-case/lifelong-anxiety-and-insomnia-eased-with-herbs,no,auto-title title-over-60
clinic_case,/clinic-case/twenty-years-of-depression-resolved-and-off-medication,https://wheat-loris-762449.hostingersite.com/clinic-case/twenty-years-of-depression-resolved-and-off-medication,200,"Twenty years of depression, resolved and off medication – Wellspring Health",75,yes,"Twenty years of depression resolved and off medication, with hot flashes and mild sleep apnea clearing alongside.",113,https://wheat-loris-762449.hostingersite.com/clinic-case/twenty-years-of-depression-resolved-and-off-medication,no,auto-title title-over-60
clinic_case,/clinic-case/raynauds-syndrome-cold-blue-hands-and-feet-warmed,https://wheat-loris-762449.hostingersite.com/clinic-case/raynauds-syndrome-cold-blue-hands-and-feet-warmed,200,"Raynaud’s syndrome: cold, blue hands and feet warmed and restored – Wellspring Health",85,yes,"Cold, blue hands and feet from Raynaud’s warmed back to normal colour and temperature by freeing trapped Yang and nourishing the blood.",135,https://wheat-loris-762449.hostingersite.com/clinic-case/raynauds-syndrome-cold-blue-hands-and-feet-warmed,no,auto-title title-over-60
clinic_case,/clinic-case/cosmetic-acupuncture-age-spots-gone-and-wrinkles-softened,https://wheat-loris-762449.hostingersite.com/clinic-case/cosmetic-acupuncture-age-spots-gone-and-wrinkles-softened,200,Cosmetic acupuncture: age spots gone and wrinkles softened – Wellspring Health,78,yes,"Age spots cleared and wrinkles softened through cosmetic acupuncture and circulation-boosting herbs — natural, from the inside out.",131,https://wheat-loris-762449.hostingersite.com/clinic-case/cosmetic-acupuncture-age-spots-gone-and-wrinkles-softened,no,auto-title title-over-60
clinic_case,/clinic-case/sharp-pain-under-the-shoulder-blade-and-flank-relieved,https://wheat-loris-762449.hostingersite.com/clinic-case/sharp-pain-under-the-shoulder-blade-and-flank-relieved,200,"Sharp pain under the shoulder blade and along the flank, relieved – Wellspring Health",85,yes,"Sharp pain under the shoulder blade and along the flank, relieved by rebalancing the channels and clearing blood stasis.",120,https://wheat-loris-762449.hostingersite.com/clinic-case/sharp-pain-under-the-shoulder-blade-and-flank-relieved,no,auto-title title-over-60
clinic_case,/clinic-case/shingles-blisters-and-severe-pain-cleared,https://wheat-loris-762449.hostingersite.com/clinic-case/shingles-blisters-and-severe-pain-cleared,200,"Shingles blisters and severe pain on the lower back and flank, cleared – Wellspring Health",90,yes,"Shingles blisters and severe pain on the lower back and flank, cleared by treating both the channel blockage and the virus.",123,https://wheat-loris-762449.hostingersite.com/clinic-case/shingles-blisters-and-severe-pain-cleared,no,auto-title title-over-60
case_focus,/clinic-cases/focus/pain-relief,https://wheat-loris-762449.hostingersite.com/clinic-cases/focus/pain-relief,200,Pain Relief & Injury Recovery – Wellspring Health,49,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/focus/pain-relief,no,auto-title no-description duplicate-title
case_focus,/clinic-cases/focus/womens-health,https://wheat-loris-762449.hostingersite.com/clinic-cases/focus/womens-health,200,Women’s Health – Wellspring Health,34,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/focus/womens-health,no,auto-title no-description duplicate-title
case_focus,/clinic-cases/focus/mental-health-sleep,https://wheat-loris-762449.hostingersite.com/clinic-cases/focus/mental-health-sleep,200,Mental Health & Sleep – Wellspring Health,41,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/focus/mental-health-sleep,no,auto-title no-description duplicate-title
case_focus,/clinic-cases/focus/respiratory,https://wheat-loris-762449.hostingersite.com/clinic-cases/focus/respiratory,200,Respiratory – Wellspring Health,31,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/focus/respiratory,no,auto-title no-description
case_focus,/clinic-cases/focus/other-conditions,https://wheat-loris-762449.hostingersite.com/clinic-cases/focus/other-conditions,200,Other Conditions – Wellspring Health,36,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/focus/other-conditions,no,auto-title no-description duplicate-title
case_focus,/clinic-cases/focus/heart-circulation,https://wheat-loris-762449.hostingersite.com/clinic-cases/focus/heart-circulation,200,Heart & Circulation – Wellspring Health,39,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/focus/heart-circulation,no,auto-title no-description duplicate-title
case_focus,/clinic-cases/focus/skin-facial-health,https://wheat-loris-762449.hostingersite.com/clinic-cases/focus/skin-facial-health,200,Skin & Facial Health – Wellspring Health,40,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/focus/skin-facial-health,no,auto-title no-description duplicate-title
case_focus,/clinic-cases/focus/allergies-immune-support,https://wheat-loris-762449.hostingersite.com/clinic-cases/focus/allergies-immune-support,200,Allergies & Immune Support – Wellspring Health,46,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/focus/allergies-immune-support,no,auto-title no-description duplicate-title
case_symptom,/clinic-cases/symptom/pain,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/pain,200,Pain – Wellspring Health,24,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/pain,no,auto-title no-description
case_symptom,/clinic-cases/symptom/headache,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/headache,200,Headache – Wellspring Health,28,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/headache,no,auto-title no-description
case_symptom,/clinic-cases/symptom/sleep,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/sleep,200,Sleep – Wellspring Health,25,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/sleep,no,auto-title no-description
case_symptom,/clinic-cases/symptom/inflammation,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/inflammation,200,Inflammation – Wellspring Health,32,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/inflammation,no,auto-title no-description
case_symptom,/clinic-cases/symptom/bleeding,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/bleeding,200,Bleeding & periods – Wellspring Health,38,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/bleeding,no,auto-title no-description
case_symptom,/clinic-cases/symptom/urinary,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/urinary,200,Urinary – Wellspring Health,27,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/urinary,no,auto-title no-description
case_symptom,/clinic-cases/symptom/breathing,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/breathing,200,Breathing & sinus – Wellspring Health,37,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/breathing,no,auto-title no-description
case_symptom,/clinic-cases/symptom/circulation,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/circulation,200,Circulation – Wellspring Health,31,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/circulation,no,auto-title no-description
case_symptom,/clinic-cases/symptom/mood,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/mood,200,Mood & anxiety – Wellspring Health,34,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/mood,no,auto-title no-description
case_symptom,/clinic-cases/symptom/skin,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/skin,200,Skin – Wellspring Health,24,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/skin,no,auto-title no-description
case_symptom,/clinic-cases/symptom/fatigue,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/fatigue,200,Fatigue & energy – Wellspring Health,36,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/symptom/fatigue,no,auto-title no-description
case_modality,/clinic-cases/treatment/acupuncture,https://wheat-loris-762449.hostingersite.com/clinic-cases/treatment/acupuncture,200,Acupuncture – Wellspring Health,31,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/treatment/acupuncture,no,auto-title no-description duplicate-title
case_modality,/clinic-cases/treatment/herbal,https://wheat-loris-762449.hostingersite.com/clinic-cases/treatment/herbal,200,Herbal medicine – Wellspring Health,35,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/treatment/herbal,no,auto-title no-description
case_modality,/clinic-cases/treatment/ear-seeds,https://wheat-loris-762449.hostingersite.com/clinic-cases/treatment/ear-seeds,200,Ear seeds – Wellspring Health,29,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/treatment/ear-seeds,no,auto-title no-description
case_modality,/clinic-cases/treatment/scalp,https://wheat-loris-762449.hostingersite.com/clinic-cases/treatment/scalp,200,Scalp acupuncture – Wellspring Health,37,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/treatment/scalp,no,auto-title no-description
case_modality,/clinic-cases/treatment/cosmetic,https://wheat-loris-762449.hostingersite.com/clinic-cases/treatment/cosmetic,200,Cosmetic acupuncture – Wellspring Health,40,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/treatment/cosmetic,no,auto-title no-description
case_modality,/clinic-cases/treatment/home-care,https://wheat-loris-762449.hostingersite.com/clinic-cases/treatment/home-care,200,Lifestyle & home care – Wellspring Health,41,yes,,,https://wheat-loris-762449.hostingersite.com/clinic-cases/treatment/home-care,no,auto-title no-description
